camera/left | seq = 72 | latency = 13933 µs
camera/rear | seq = 72 | latency = 20094 µs
camera/front | seq = 73 | latency = 26548 µs
camera/right | seq = 73 | latency = 24495 µs
lidar/aux | seq = 31 | latency = 46024 µs
radar/front | seq = 35 | latency = 20841 µs
camera/rear | seq = 73 | latency = 23289 µs
perception/objects | seq = 39 | latency = 1055 µs
camera/left | seq = 73 | latency = 28965 µs
camera/right | seq = 74 | latency = 26543 µs
radar/rear | seq = 35 | latency = 24658 µs
camera/left | seq = 74 | latency = 29302 µs
camera/rear | seq = 74 | latency = 32004 µs
camera/front | seq = 75 | latency = 33133 µs
camera/right | seq = 75 | latency = 31298 µs
camera/left | seq = 75 | latency = 28189 µs
radar/front | seq = 36 | latency = 26811 µs
perception/objects | seq = 40 | latency = 1022 µs
camera/rear | seq = 75 | latency = 28809 µs
radar/rear | seq = 36 | latency = 20490 µs
camera/left | seq = 76 | latency = 20317 µs
lidar/main | seq = 37 | latency = 46086 µs
camera/rear | seq = 76 | latency = 23238 µs
camera/front | seq = 77 | latency = 26609 µs
camera/right | seq = 77 | latency = 31275 µs
camera/left | seq = 77 | latency = 30453 µs
camera/rear | seq = 77 | latency = 28671 µs
perception/objects | seq = 41 | latency = 1078 µs
radar/front | seq = 37 | latency = 32423 µs
camera/front | seq = 78 | latency = 33281 µs
camera/left | seq = 78 | latency = 27985 µs
camera/right | seq = 78 | latency = 31814 µs
radar/rear | seq = 37 | latency = 32224 µs
camera/rear | seq = 78 | latency = 33805 µs
camera/front | seq = 79 | latency = 30091 µs
camera/left | seq = 79 | latency = 27567 µs
camera/right | seq = 79 | latency = 27716 µs
perception/objects | seq = 42 | latency = 1037 µs
camera/front | seq = 80 | latency = 27694 µs
lidar/main | seq = 39 | latency = 44164 µs
camera/rear | seq = 79 | latency = 33613 µs
radar/front | seq = 38 | latency = 36860 µs
camera/left | seq = 80 | latency = 39957 µs
camera/right | seq = 80 | latency = 40818 µs
camera/front | seq = 81 | latency = 38117 µs
camera/left | seq = 81 | latency = 22104 µs
camera/right | seq = 81 | latency = 19746 µs
camera/front | seq = 82 | latency = 21927 µs
perception/objects | seq = 43 | latency = 966 µs
radar/front | seq = 39 | latency = 18727 µs
camera/rear | seq = 81 | latency = 23359 µs
camera/right | seq = 82 | latency = 23498 µs
camera/front | seq = 83 | latency = 29044 µs
camera/left | seq = 83 | latency = 23793 µs
camera/rear | seq = 82 | latency = 31048 µs
lidar/main | seq = 41 | latency = 44428 µs
radar/rear | seq = 39 | latency = 28866 µs
perception/objects | seq = 44 | latency = 1087 µs
camera/right | seq = 83 | latency = 35680 µs
camera/front | seq = 84 | latency = 40512 µs
camera/left | seq = 84 | latency = 34955 µs
radar/front | seq = 40 | latency = 32435 µs
camera/rear | seq = 83 | latency = 35092 µs
camera/right | seq = 84 | latency = 32218 µs
camera/front | seq = 85 | latency = 33227 µs
camera/left | seq = 85 | latency = 26330 µs
radar/rear | seq = 40 | latency = 20798 µs
perception/objects | seq = 45 | latency = 991 µs
camera/rear | seq = 84 | latency = 24920 µs
camera/right | seq = 85 | latency = 20940 µs
camera/front | seq = 86 | latency = 27430 µs
camera/left | seq = 86 | latency = 29581 µs
radar/front | seq = 41 | latency = 30487 µs
lidar/main | seq = 43 | latency = 44709 µs
camera/front | seq = 87 | latency = 26216 µs
camera/right | seq = 86 | latency = 32891 µs
camera/left | seq = 87 | latency = 36238 µs
perception/objects | seq = 46 | latency = 924 µs
radar/rear | seq = 41 | latency = 27780 µs
camera/rear | seq = 86 | latency = 33351 µs
camera/front | seq = 88 | latency = 36101 µs
radar/front | seq = 42 | latency = 20937 µs
camera/rear | seq = 87 | latency = 16910 µs
camera/front | seq = 89 | latency = 17545 µs
camera/left | seq = 89 | latency = 22111 µs
camera/right | seq = 88 | latency = 26122 µs
radar/rear | seq = 42 | latency = 18936 µs
perception/objects | seq = 47 | latency = 996 µs
camera/front | seq = 90 | latency = 23397 µs
camera/rear | seq = 88 | latency = 28298 µs
camera/right | seq = 89 | latency = 27343 µs
lidar/aux | seq = 37 | latency = 46302 µs
camera/left | seq = 90 | latency = 31672 µs
radar/front | seq = 43 | latency = 28893 µs
camera/front | seq = 91 | latency = 34041 µs
camera/rear | seq = 89 | latency = 40024 µs
camera/left | seq = 91 | latency = 25466 µs
perception/objects | seq = 48 | latency = 982 µs
radar/rear | seq = 43 | latency = 23787 µs
camera/rear | seq = 90 | latency = 29707 µs
camera/front | seq = 92 | latency = 31161 µs
camera/right | seq = 91 | latency = 28288 µs
camera/left | seq = 92 | latency = 28560 µs
radar/front | seq = 44 | latency = 27696 µs
camera/rear | seq = 91 | latency = 23788 µs
camera/front | seq = 93 | latency = 28790 µs
camera/right | seq = 92 | latency = 25518 µs
perception/objects | seq = 49 | latency = 994 µs
radar/rear | seq = 44 | latency = 23647 µs
camera/left | seq = 93 | latency = 27426 µs
lidar/main | seq = 46 | latency = 46071 µs
camera/rear | seq = 92 | latency = 32289 µs
camera/front | seq = 94 | latency = 30650 µs
camera/right | seq = 93 | latency = 35921 µs
camera/left | seq = 94 | latency = 34014 µs
radar/front | seq = 45 | latency = 28749 µs
camera/rear | seq = 93 | latency = 34668 µs
perception/objects | seq = 50 | latency = 955 µs
camera/right | seq = 94 | latency = 27028 µs
camera/front | seq = 95 | latency = 30470 µs
radar/rear | seq = 45 | latency = 26270 µs
camera/left | seq = 95 | latency = 32781 µs
camera/rear | seq = 94 | latency = 27635 µs
camera/right | seq = 95 | latency = 24348 µs
camera/front | seq = 96 | latency = 27856 µs
camera/left | seq = 96 | latency = 26986 µs
radar/front | seq = 46 | latency = 29622 µs
lidar/main | seq = 48 | latency = 46046 µs
camera/front | seq = 97 | latency = 23251 µs
perception/objects | seq = 51 | latency = 971 µs
camera/left | seq = 97 | latency = 24482 µs
radar/rear | seq = 46 | latency = 19904 µs
camera/right | seq = 97 | latency = 26357 µs
camera/rear | seq = 96 | latency = 33127 µs
camera/front | seq = 98 | latency = 37844 µs
radar/front | seq = 47 | latency = 21794 µs
camera/front | seq = 99 | latency = 18913 µs
camera/left | seq = 99 | latency = 19073 µs
camera/rear | seq = 97 | latency = 25626 µs
perception/objects | seq = 52 | latency = 957 µs
camera/right | seq = 99 | latency = 21853 µs
radar/rear | seq = 47 | latency = 20908 µs
camera/left | seq = 100 | latency = 24263 µs
camera/front | seq = 100 | latency = 30405 µs
camera/right | seq = 100 | latency = 27354 µs
lidar/main | seq = 50 | latency = 46006 µs
camera/rear | seq = 98 | latency = 31660 µs
camera/left | seq = 101 | latency = 32571 µs
camera/right | seq = 101 | latency = 26852 µs
perception/objects | seq = 53 | latency = 961 µs
camera/left | seq = 102 | latency = 26667 µs
camera/rear | seq = 99 | latency = 32307 µs
radar/rear | seq = 48 | latency = 33521 µs
camera/front | seq = 102 | latency = 31526 µs
camera/right | seq = 102 | latency = 30651 µs
camera/rear | seq = 100 | latency = 18295 µs
radar/front | seq = 49 | latency = 20175 µs
camera/right | seq = 103 | latency = 22058 µs
camera/front | seq = 103 | latency = 28305 µs
perception/objects | seq = 54 | latency = 911 µs
camera/left | seq = 104 | latency = 25726 µs
camera/rear | seq = 101 | latency = 32611 µs
radar/rear | seq = 49 | latency = 27918 µs
lidar/aux | seq = 42 | latency = 44129 µs
camera/right | seq = 104 | latency = 32428 µs
camera/left | seq = 105 | latency = 32063 µs
camera/rear | seq = 102 | latency = 26352 µs
radar/front | seq = 50 | latency = 27384 µs
camera/left | seq = 106 | latency = 28279 µs
perception/objects | seq = 55 | latency = 919 µs
camera/right | seq = 105 | latency = 32851 µs
camera/front | seq = 105 | latency = 31324 µs
camera/right | seq = 106 | latency = 15090 µs
camera/rear | seq = 104 | latency = 20121 µs
camera/front | seq = 106 | latency = 26989 µs
camera/left | seq = 108 | latency = 24400 µs
radar/front | seq = 51 | latency = 24756 µs
camera/right | seq = 107 | latency = 23384 µs
perception/objects | seq = 56 | latency = 897 µs
camera/rear | seq = 105 | latency = 29365 µs
lidar/aux | seq = 44 | latency = 46033 µs
camera/front | seq = 107 | latency = 31462 µs
camera/left | seq = 109 | latency = 35968 µs
radar/rear | seq = 51 | latency = 30055 µs
camera/right | seq = 108 | latency = 36957 µs
camera/rear | seq = 106 | latency = 32084 µs
camera/front | seq = 108 | latency = 37652 µs
radar/front | seq = 52 | latency = 27453 µs
camera/rear | seq = 107 | latency = 15163 µs
perception/objects | seq = 57 | latency = 1041 µs
camera/front | seq = 109 | latency = 22094 µs
camera/left | seq = 111 | latency = 23401 µs
radar/rear | seq = 52 | latency = 24802 µs
camera/right | seq = 110 | latency = 29402 µs
camera/rear | seq = 108 | latency = 24403 µs
camera/front | seq = 110 | latency = 29855 µs
lidar/aux | seq = 46 | latency = 47133 µs
camera/left | seq = 112 | latency = 35716 µs
radar/front | seq = 53 | latency = 28140 µs
camera/rear | seq = 109 | latency = 30526 µs
perception/objects | seq = 58 | latency = 1048 µs
camera/right | seq = 111 | latency = 36334 µs
camera/front | seq = 111 | latency = 29510 µs
camera/left | seq = 113 | latency = 33101 µs
radar/rear | seq = 53 | latency = 35011 µs
camera/rear | seq = 110 | latency = 31251 µs
camera/right | seq = 112 | latency = 34519 µs
camera/left | seq = 114 | latency = 27792 µs
camera/front | seq = 112 | latency = 32991 µs
radar/front | seq = 54 | latency = 35361 µs
perception/objects | seq = 59 | latency = 981 µs
camera/rear | seq = 111 | latency = 32257 µs
camera/right | seq = 113 | latency = 31566 µs
camera/left | seq = 115 | latency = 25443 µs
camera/front | seq = 113 | latency = 31686 µs
lidar/main | seq = 55 | latency = 48927 µs
camera/rear | seq = 112 | latency = 35596 µs
camera/left | seq = 116 | latency = 27056 µs
camera/front | seq = 114 | latency = 24628 µs
camera/rear | seq = 113 | latency = 28939 µs
perception/objects | seq = 60 | latency = 950 µs
camera/left | seq = 117 | latency = 25975 µs
camera/right | seq = 115 | latency = 30353 µs
camera/front | seq = 115 | latency = 28691 µs
radar/rear | seq = 55 | latency = 13630 µs
camera/right | seq = 116 | latency = 12357 µs
camera/front | seq = 116 | latency = 18996 µs
camera/rear | seq = 115 | latency = 24381 µs
camera/left | seq = 119 | latency = 28059 µs
radar/front | seq = 56 | latency = 19930 µs
perception/objects | seq = 61 | latency = 1011 µs
camera/front | seq = 117 | latency = 24481 µs
lidar/aux | seq = 49 | latency = 46511 µs
camera/right | seq = 117 | latency = 29286 µs
camera/front | seq = 118 | latency = 19206 µs
radar/rear | seq = 56 | latency = 18116 µs
camera/right | seq = 118 | latency = 22061 µs
camera/rear | seq = 117 | latency = 25951 µs
camera/left | seq = 121 | latency = 32300 µs
camera/front | seq = 119 | latency = 31164 µs
perception/objects | seq = 62 | latency = 1267 µs
camera/right | seq = 119 | latency = 26662 µs
radar/front | seq = 57 | latency = 23784 µs
camera/rear | seq = 118 | latency = 28814 µs
camera/left | seq = 122 | latency = 28196 µs
camera/right | seq = 120 | latency = 26317 µs
camera/front | seq = 120 | latency = 30448 µs
radar/rear | seq = 57 | latency = 31632 µs
camera/rear | seq = 119 | latency = 31177 µs
camera/right | seq = 121 | latency = 26210 µs
perception/objects | seq = 63 | latency = 997 µs
lidar/aux | seq = 51 | latency = 49048 µs
camera/left | seq = 123 | latency = 30221 µs
radar/front | seq = 58 | latency = 26993 µs
camera/front | seq = 121 | latency = 33854 µs
camera/rear | seq = 120 | latency = 32161 µs
radar/rear | seq = 58 | latency = 16830 µs
