camera/rear | seq = 37 | latency = 21870 µs
camera/front | seq = 39 | latency = 25497 µs
radar/front | seq = 18 | latency = 13256 µs
camera/right | seq = 38 | latency = 16255 µs
camera/rear | seq = 38 | latency = 14761 µs
camera/front | seq = 40 | latency = 20209 µs
camera/left | seq = 41 | latency = 21329 µs
camera/right | seq = 39 | latency = 24057 µs
radar/rear | seq = 18 | latency = 17635 µs
lidar/main | seq = 17 | latency = 49008 µs
perception/objects | seq = 20 | latency = 267 µs
camera/rear | seq = 39 | latency = 21717 µs
camera/front | seq = 41 | latency = 22280 µs
camera/left | seq = 42 | latency = 25585 µs
camera/right | seq = 40 | latency = 28496 µs
radar/front | seq = 19 | latency = 21197 µs
camera/rear | seq = 40 | latency = 21694 µs
camera/left | seq = 43 | latency = 21519 µs
camera/front | seq = 42 | latency = 28113 µs
camera/right | seq = 41 | latency = 23388 µs
camera/rear | seq = 41 | latency = 25197 µs
perception/objects | seq = 21 | latency = 263 µs
radar/rear | seq = 19 | latency = 26031 µs
lidar/aux | seq = 17 | latency = 49480 µs
camera/front | seq = 43 | latency = 23427 µs
camera/right | seq = 42 | latency = 22096 µs
camera/rear | seq = 42 | latency = 19674 µs
radar/front | seq = 20 | latency = 16020 µs
camera/left | seq = 45 | latency = 21528 µs
camera/front | seq = 44 | latency = 22184 µs
camera/right | seq = 43 | latency = 26239 µs
camera/rear | seq = 43 | latency = 28191 µs
radar/rear | seq = 20 | latency = 20263 µs
perception/objects | seq = 22 | latency = 288 µs
camera/left | seq = 46 | latency = 25549 µs
camera/rear | seq = 44 | latency = 18137 µs
camera/left | seq = 47 | latency = 19223 µs
lidar/main | seq = 19 | latency = 51850 µs
camera/right | seq = 45 | latency = 16252 µs
radar/front | seq = 21 | latency = 17936 µs
camera/front | seq = 46 | latency = 19093 µs
camera/rear | seq = 45 | latency = 19957 µs
radar/rear | seq = 21 | latency = 8215 µs
camera/right | seq = 46 | latency = 13615 µs
camera/front | seq = 47 | latency = 17708 µs
perception/objects | seq = 23 | latency = 128 µs
camera/rear | seq = 46 | latency = 22941 µs
camera/left | seq = 49 | latency = 25709 µs
camera/right | seq = 47 | latency = 21826 µs
camera/front | seq = 48 | latency = 23449 µs
lidar/main | seq = 20 | latency = 48397 µs
camera/rear | seq = 47 | latency = 28130 µs
radar/front | seq = 22 | latency = 28252 µs
camera/left | seq = 50 | latency = 30103 µs
camera/right | seq = 48 | latency = 25452 µs
camera/rear | seq = 48 | latency = 12763 µs
perception/objects | seq = 24 | latency = 282 µs
camera/right | seq = 49 | latency = 12477 µs
camera/left | seq = 51 | latency = 18082 µs
camera/front | seq = 50 | latency = 19996 µs
camera/rear | seq = 49 | latency = 14736 µs
camera/left | seq = 52 | latency = 16787 µs
camera/right | seq = 50 | latency = 21667 µs
lidar/main | seq = 21 | latency = 52930 µs
camera/front | seq = 51 | latency = 26482 µs
radar/front | seq = 23 | latency = 27994 µs
radar/rear | seq = 23 | latency = 18920 µs
camera/rear | seq = 50 | latency = 19584 µs
perception/objects | seq = 25 | latency = 266 µs
camera/left | seq = 53 | latency = 23322 µs
camera/right | seq = 51 | latency = 24589 µs
camera/rear | seq = 51 | latency = 19136 µs
camera/right | seq = 52 | latency = 14321 µs
camera/left | seq = 54 | latency = 17518 µs
camera/front | seq = 53 | latency = 20324 µs
camera/rear | seq = 52 | latency = 21335 µs
radar/front | seq = 24 | latency = 21416 µs
camera/right | seq = 53 | latency = 22649 µs
radar/rear | seq = 24 | latency = 24514 µs
lidar/aux | seq = 21 | latency = 54340 µs
perception/objects | seq = 26 | latency = 281 µs
camera/left | seq = 55 | latency = 28690 µs
camera/front | seq = 54 | latency = 24854 µs
camera/rear | seq = 53 | latency = 25388 µs
