camera/right | seq = 92 | latency = 15850 µs
camera/rear | seq = 93 | latency = 14263 µs
camera/left | seq = 95 | latency = 18495 µs
radar/rear | seq = 41 | latency = 12134 µs
perception/objects | seq = 43 | latency = 2035 µs
camera/front | seq = 94 | latency = 17088 µs
lidar/main | seq = 35 | latency = 45685 µs
camera/right | seq = 93 | latency = 18683 µs
camera/rear | seq = 94 | latency = 18978 µs
camera/left | seq = 96 | latency = 21428 µs
camera/front | seq = 95 | latency = 18135 µs
camera/right | seq = 94 | latency = 22239 µs
camera/rear | seq = 95 | latency = 23526 µs
camera/left | seq = 97 | latency = 23888 µs
radar/front | seq = 42 | latency = 25303 µs
camera/right | seq = 95 | latency = 17713 µs
camera/front | seq = 96 | latency = 19448 µs
perception/objects | seq = 44 | latency = 1761 µs
camera/rear | seq = 96 | latency = 18181 µs
camera/left | seq = 98 | latency = 10327 µs
camera/right | seq = 96 | latency = 14601 µs
camera/rear | seq = 97 | latency = 10147 µs
camera/front | seq = 97 | latency = 15620 µs
camera/right | seq = 97 | latency = 14438 µs
camera/left | seq = 99 | latency = 17497 µs
radar/front | seq = 43 | latency = 11624 µs
camera/rear | seq = 98 | latency = 15215 µs
lidar/main | seq = 37 | latency = 45459 µs
camera/front | seq = 98 | latency = 18562 µs
perception/objects | seq = 45 | latency = 2175 µs
camera/right | seq = 98 | latency = 20119 µs
camera/left | seq = 100 | latency = 21457 µs
radar/rear | seq = 43 | latency = 24843 µs
camera/front | seq = 99 | latency = 17872 µs
camera/right | seq = 99 | latency = 18624 µs
camera/left | seq = 101 | latency = 18329 µs
camera/rear | seq = 100 | latency = 17205 µs
radar/front | seq = 44 | latency = 11765 µs
camera/front | seq = 100 | latency = 14341 µs
camera/right | seq = 100 | latency = 17001 µs
camera/left | seq = 102 | latency = 18464 µs
perception/objects | seq = 46 | latency = 2211 µs
camera/rear | seq = 101 | latency = 20114 µs
radar/rear | seq = 44 | latency = 19524 µs
camera/front | seq = 101 | latency = 19850 µs
camera/left | seq = 103 | latency = 19788 µs
camera/rear | seq = 102 | latency = 20017 µs
camera/right | seq = 101 | latency = 26005 µs
lidar/aux | seq = 38 | latency = 45428 µs
camera/front | seq = 102 | latency = 22168 µs
camera/left | seq = 104 | latency = 23908 µs
radar/front | seq = 45 | latency = 21850 µs
camera/rear | seq = 103 | latency = 24956 µs
perception/objects | seq = 47 | latency = 2527 µs
camera/right | seq = 102 | latency = 23057 µs
camera/front | seq = 103 | latency = 27804 µs
camera/left | seq = 105 | latency = 30273 µs
radar/rear | seq = 45 | latency = 31487 µs
camera/rear | seq = 104 | latency = 16947 µs
camera/right | seq = 103 | latency = 18720 µs
camera/front | seq = 104 | latency = 17545 µs
camera/left | seq = 106 | latency = 15706 µs
radar/front | seq = 46 | latency = 12656 µs
camera/rear | seq = 105 | latency = 18720 µs
camera/right | seq = 104 | latency = 16715 µs
camera/front | seq = 105 | latency = 18115 µs
perception/objects | seq = 48 | latency = 2246 µs
camera/left | seq = 107 | latency = 23412 µs
