camera/right | seq = 66 | latency = 21710 µs
camera/left | seq = 68 | latency = 18694 µs
radar/rear | seq = 29 | latency = 20330 µs
camera/rear | seq = 65 | latency = 23057 µs
camera/front | seq = 66 | latency = 26324 µs
perception/objects | seq = 31 | latency = 2953 µs
camera/right | seq = 67 | latency = 25364 µs
radar/front | seq = 30 | latency = 23638 µs
camera/left | seq = 69 | latency = 24611 µs
camera/rear | seq = 66 | latency = 20957 µs
camera/front | seq = 67 | latency = 23472 µs
camera/right | seq = 68 | latency = 26889 µs
lidar/aux | seq = 27 | latency = 47777 µs
camera/left | seq = 70 | latency = 24282 µs
camera/rear | seq = 67 | latency = 22876 µs
radar/rear | seq = 30 | latency = 24278 µs
camera/front | seq = 68 | latency = 23322 µs
perception/objects | seq = 32 | latency = 3809 µs
camera/right | seq = 69 | latency = 20694 µs
camera/front | seq = 69 | latency = 13666 µs
camera/left | seq = 72 | latency = 10481 µs
camera/right | seq = 70 | latency = 15633 µs
camera/rear | seq = 69 | latency = 19895 µs
camera/front | seq = 70 | latency = 16762 µs
camera/rear | seq = 70 | latency = 12448 µs
lidar/aux | seq = 28 | latency = 48136 µs
camera/right | seq = 71 | latency = 15623 µs
camera/left | seq = 73 | latency = 18211 µs
radar/rear | seq = 31 | latency = 17838 µs
perception/objects | seq = 33 | latency = 3751 µs
camera/front | seq = 71 | latency = 15637 µs
radar/front | seq = 32 | latency = 17224 µs
camera/rear | seq = 71 | latency = 17601 µs
camera/right | seq = 72 | latency = 23121 µs
camera/left | seq = 74 | latency = 25078 µs
camera/front | seq = 72 | latency = 22265 µs
camera/rear | seq = 72 | latency = 23686 µs
camera/right | seq = 73 | latency = 27365 µs
lidar/aux | seq = 29 | latency = 47914 µs
camera/left | seq = 75 | latency = 27216 µs
camera/front | seq = 73 | latency = 23143 µs
perception/objects | seq = 34 | latency = 3528 µs
radar/front | seq = 33 | latency = 10613 µs
camera/left | seq = 76 | latency = 15414 µs
camera/right | seq = 74 | latency = 19729 µs
camera/front | seq = 74 | latency = 22653 µs
camera/rear | seq = 74 | latency = 17785 µs
camera/left | seq = 77 | latency = 17518 µs
camera/right | seq = 75 | latency = 22299 µs
camera/front | seq = 75 | latency = 23170 µs
lidar/main | seq = 32 | latency = 47951 µs
camera/rear | seq = 75 | latency = 21188 µs
camera/right | seq = 76 | latency = 19202 µs
perception/objects | seq = 35 | latency = 3388 µs
radar/rear | seq = 33 | latency = 20339 µs
camera/left | seq = 78 | latency = 25662 µs
radar/front | seq = 34 | latency = 21638 µs
camera/front | seq = 76 | latency = 26353 µs
camera/rear | seq = 76 | latency = 26369 µs
camera/right | seq = 77 | latency = 26811 µs
camera/left | seq = 79 | latency = 24152 µs
camera/front | seq = 77 | latency = 20284 µs
camera/right | seq = 78 | latency = 21096 µs
lidar/aux | seq = 31 | latency = 47884 µs
camera/rear | seq = 77 | latency = 26095 µs
perception/objects | seq = 36 | latency = 3420 µs
radar/rear | seq = 34 | latency = 20909 µs
radar/front | seq = 35 | latency = 16396 µs
camera/front | seq = 78 | latency = 21321 µs
camera/right | seq = 79 | latency = 26209 µs
camera/rear | seq = 78 | latency = 27940 µs
camera/left | seq = 81 | latency = 28259 µs
camera/front | seq = 79 | latency = 20986 µs
camera/right | seq = 80 | latency = 21698 µs
camera/rear | seq = 79 | latency = 16236 µs
camera/left | seq = 82 | latency = 19967 µs
radar/rear | seq = 35 | latency = 16669 µs
perception/objects | seq = 37 | latency = 3369 µs
camera/front | seq = 80 | latency = 20066 µs
camera/right | seq = 81 | latency = 25148 µs
radar/front | seq = 36 | latency = 18533 µs
camera/rear | seq = 80 | latency = 23884 µs
camera/left | seq = 83 | latency = 24556 µs
camera/front | seq = 81 | latency = 25065 µs
camera/right | seq = 82 | latency = 26116 µs
lidar/main | seq = 34 | latency = 47802 µs
camera/rear | seq = 81 | latency = 23810 µs
camera/left | seq = 84 | latency = 26336 µs
camera/front | seq = 82 | latency = 21376 µs
perception/objects | seq = 38 | latency = 3643 µs
camera/rear | seq = 82 | latency = 18410 µs
radar/front | seq = 37 | latency = 16107 µs
camera/left | seq = 85 | latency = 16525 µs
camera/front | seq = 83 | latency = 19451 µs
camera/right | seq = 84 | latency = 21252 µs
camera/rear | seq = 83 | latency = 25721 µs
camera/left | seq = 86 | latency = 19749 µs
lidar/aux | seq = 34 | latency = 47913 µs
camera/front | seq = 84 | latency = 21341 µs
camera/right | seq = 85 | latency = 22778 µs
radar/rear | seq = 37 | latency = 12342 µs
camera/left | seq = 87 | latency = 11730 µs
perception/objects | seq = 39 | latency = 3322 µs
radar/front | seq = 38 | latency = 15095 µs
camera/front | seq = 85 | latency = 19751 µs
camera/right | seq = 86 | latency = 21451 µs
camera/rear | seq = 85 | latency = 23735 µs
camera/left | seq = 88 | latency = 20699 µs
camera/front | seq = 86 | latency = 24726 µs
camera/right | seq = 87 | latency = 24859 µs
lidar/main | seq = 36 | latency = 47770 µs
camera/rear | seq = 86 | latency = 26715 µs
camera/left | seq = 89 | latency = 22151 µs
perception/objects | seq = 40 | latency = 3173 µs
camera/front | seq = 87 | latency = 27633 µs
radar/rear | seq = 38 | latency = 23773 µs
camera/right | seq = 88 | latency = 28876 µs
camera/rear | seq = 87 | latency = 34752 µs
radar/front | seq = 39 | latency = 33276 µs
camera/left | seq = 90 | latency = 30989 µs
camera/front | seq = 88 | latency = 27218 µs
camera/right | seq = 89 | latency = 21906 µs
camera/rear | seq = 88 | latency = 24331 µs
camera/left | seq = 91 | latency = 18359 µs
camera/front | seq = 89 | latency = 18701 µs
perception/objects | seq = 41 | latency = 2864 µs
camera/rear | seq = 89 | latency = 17770 µs
radar/rear | seq = 39 | latency = 19925 µs
camera/right | seq = 90 | latency = 21435 µs
camera/left | seq = 92 | latency = 23256 µs
camera/front | seq = 90 | latency = 28237 µs
radar/front | seq = 40 | latency = 25874 µs
lidar/main | seq = 38 | latency = 48136 µs
camera/rear | seq = 90 | latency = 23550 µs
camera/right | seq = 91 | latency = 23791 µs
camera/left | seq = 93 | latency = 23427 µs
camera/front | seq = 91 | latency = 23572 µs
perception/objects | seq = 42 | latency = 3434 µs
camera/rear | seq = 91 | latency = 25536 µs
radar/rear | seq = 40 | latency = 16216 µs
camera/left | seq = 94 | latency = 18835 µs
camera/right | seq = 92 | latency = 24683 µs
camera/rear | seq = 92 | latency = 24788 µs
camera/front | seq = 92 | latency = 30632 µs
lidar/main | seq = 39 | latency = 46361 µs
radar/front | seq = 41 | latency = 24760 µs
camera/left | seq = 95 | latency = 24204 µs
camera/right | seq = 93 | latency = 23221 µs
camera/rear | seq = 93 | latency = 24583 µs
camera/front | seq = 93 | latency = 20739 µs
perception/objects | seq = 43 | latency = 3497 µs
camera/right | seq = 94 | latency = 17602 µs
camera/left | seq = 96 | latency = 20662 µs
radar/rear | seq = 41 | latency = 22528 µs
camera/rear | seq = 94 | latency = 18010 µs
camera/front | seq = 94 | latency = 23237 µs
camera/right | seq = 95 | latency = 25857 µs
camera/left | seq = 97 | latency = 27317 µs
lidar/main | seq = 40 | latency = 47341 µs
radar/front | seq = 42 | latency = 28471 µs
camera/rear | seq = 95 | latency = 21011 µs
camera/front | seq = 95 | latency = 23211 µs
camera/right | seq = 96 | latency = 26051 µs
perception/objects | seq = 44 | latency = 2891 µs
camera/rear | seq = 96 | latency = 18888 µs
radar/rear | seq = 42 | latency = 18469 µs
camera/right | seq = 97 | latency = 17774 µs
camera/front | seq = 96 | latency = 23257 µs
camera/left | seq = 99 | latency = 21761 µs
camera/rear | seq = 97 | latency = 24181 µs
radar/front | seq = 43 | latency = 18946 µs
lidar/main | seq = 41 | latency = 47849 µs
camera/right | seq = 98 | latency = 23805 µs
camera/front | seq = 97 | latency = 28802 µs
camera/rear | seq = 98 | latency = 27294 µs
perception/objects | seq = 45 | latency = 2838 µs
radar/rear | seq = 43 | latency = 19157 µs
camera/right | seq = 99 | latency = 22994 µs
camera/front | seq = 98 | latency = 24109 µs
camera/left | seq = 101 | latency = 25451 µs
camera/rear | seq = 99 | latency = 30737 µs
camera/right | seq = 100 | latency = 23928 µs
radar/front | seq = 44 | latency = 25145 µs
camera/left | seq = 102 | latency = 28713 µs
camera/front | seq = 99 | latency = 34704 µs
perception/objects | seq = 46 | latency = 3797 µs
camera/rear | seq = 100 | latency = 29244 µs
camera/right | seq = 101 | latency = 31528 µs
radar/rear | seq = 44 | latency = 23164 µs
camera/front | seq = 100 | latency = 21510 µs
camera/rear | seq = 101 | latency = 15770 µs
camera/right | seq = 102 | latency = 16605 µs
radar/front | seq = 45 | latency = 15593 µs
camera/front | seq = 101 | latency = 16913 µs
camera/left | seq = 104 | latency = 22370 µs
camera/rear | seq = 102 | latency = 22161 µs
camera/right | seq = 103 | latency = 22674 µs
perception/objects | seq = 47 | latency = 3129 µs
camera/front | seq = 102 | latency = 21475 µs
radar/rear | seq = 45 | latency = 22909 µs
lidar/main | seq = 43 | latency = 47629 µs
camera/left | seq = 105 | latency = 27851 µs
camera/rear | seq = 103 | latency = 24076 µs
camera/right | seq = 104 | latency = 25423 µs
camera/front | seq = 103 | latency = 22322 µs
camera/rear | seq = 104 | latency = 19420 µs
camera/front | seq = 104 | latency = 15855 µs
camera/right | seq = 105 | latency = 20606 µs
camera/rear | seq = 105 | latency = 18743 µs
perception/objects | seq = 48 | latency = 3253 µs
radar/rear | seq = 46 | latency = 21622 µs
camera/left | seq = 107 | latency = 25212 µs
lidar/aux | seq = 42 | latency = 46509 µs
camera/front | seq = 105 | latency = 24295 µs
camera/right | seq = 106 | latency = 23545 µs
camera/rear | seq = 106 | latency = 19598 µs
camera/left | seq = 108 | latency = 23572 µs
radar/front | seq = 47 | latency = 21163 µs
camera/front | seq = 106 | latency = 25905 µs
camera/right | seq = 107 | latency = 27592 µs
camera/rear | seq = 107 | latency = 23436 µs
perception/objects | seq = 49 | latency = 3134 µs
radar/rear | seq = 47 | latency = 22780 µs
camera/left | seq = 109 | latency = 27783 µs
lidar/aux | seq = 43 | latency = 47950 µs
camera/right | seq = 108 | latency = 25662 µs
camera/front | seq = 107 | latency = 29256 µs
camera/rear | seq = 108 | latency = 31455 µs
camera/left | seq = 110 | latency = 23103 µs
camera/right | seq = 109 | latency = 25845 µs
radar/front | seq = 48 | latency = 26838 µs
camera/left | seq = 111 | latency = 16373 µs
radar/rear | seq = 48 | latency = 18364 µs
perception/objects | seq = 50 | latency = 3301 µs
camera/right | seq = 110 | latency = 21314 µs
camera/rear | seq = 110 | latency = 19185 µs
camera/front | seq = 109 | latency = 19423 µs
camera/left | seq = 112 | latency = 10646 µs
camera/right | seq = 111 | latency = 15961 µs
camera/rear | seq = 111 | latency = 18754 µs
radar/front | seq = 49 | latency = 11644 µs
camera/front | seq = 110 | latency = 14399 µs
camera/left | seq = 113 | latency = 18124 µs
camera/right | seq = 112 | latency = 20123 µs
perception/objects | seq = 51 | latency = 3727 µs
camera/rear | seq = 112 | latency = 25821 µs
radar/rear | seq = 49 | latency = 20477 µs
lidar/main | seq = 46 | latency = 47605 µs
camera/front | seq = 111 | latency = 21767 µs
camera/left | seq = 114 | latency = 22554 µs
camera/right | seq = 113 | latency = 22925 µs
camera/rear | seq = 113 | latency = 24012 µs
camera/front | seq = 112 | latency = 15557 µs
camera/left | seq = 115 | latency = 20129 µs
radar/front | seq = 50 | latency = 17924 µs
camera/right | seq = 114 | latency = 20197 µs
camera/rear | seq = 114 | latency = 24476 µs
perception/objects | seq = 52 | latency = 3427 µs
camera/front | seq = 113 | latency = 24098 µs
camera/left | seq = 116 | latency = 27350 µs
radar/rear | seq = 50 | latency = 30739 µs
