Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
planning/cooperate_status/external_request_lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/external_request_lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/goal_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/intersection,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/intersection_occlusion,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/no_stopping_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/occlusion_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/start_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/static_obstacle_avoidance_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/static_obstacle_avoidance_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/virtual_traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/avoidance_by_lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/avoidance_by_lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/blind_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/crosswalk,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/detection_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/goal_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/intersection,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/no_stopping_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/start_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/static_obstacle_avoidance_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/static_obstacle_avoidance_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/debug/objects_of_interest/traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planningplanning_evaluator/metrics,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planningplanning_validator/debug/marker,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planningplanning_validator/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planningplanning_validator/output/markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planningplanning_validator/validation_status,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/external_velocity_limit_selector/debug,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_debug_message_array,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/bound,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/dynamic_obstacle_avoidance/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/parking/freespace_planner/debug/partial_pose_array,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/parking/freespace_planner/debug/pose_array,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_right/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/side_shift,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/side_shift/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/start_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/start_planner/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/static_obstacle_avoidance,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/static_obstacle_avoidance/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/total_time/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/turn_signal_info,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/avoidance_by_lane_change,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/goal_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/side_shift,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/start_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/static_obstacle_avoidance,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/avoidance_by_lane_change,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/goal_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/side_shift,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/start_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/static_obstacle_avoidance,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/avoidance_by_lane_change,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/external_request_lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/external_request_lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/goal_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/side_shift,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/start_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/static_obstacle_avoidance,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/blind_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/blind_spot/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/crosswalk,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
