planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/total_time/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/turn_signal_info,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/avoidance_by_lane_change,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/side_shift,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/start_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/static_obstacle_avoidance,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/avoidance_by_lane_change,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/goal_planner,Less-Critical,Vehicle/System,20,0.1K,2KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/lane_change_left,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/lane_change_right,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/side_shift,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/start_planner,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/processing_time/static_obstacle_avoidance,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/avoidance_by_lane_change,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/side_shift,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/start_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/virtual_wall/static_obstacle_avoidance,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/blind_spot,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/blind_spot/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/collision_info,Less-Critical,Vehicle/System,30,0.1K,3KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/crosswalk,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/crosswalk/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/detection_area,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/detection_area/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/intersection,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/intersection_traffic_signal,Less-Critical,Vehicle/System,10,0.1K,1KB/s
