perception/object_recognition/detection/detection_by_tracker/debug/tracked_objects,Vehicle/System,Less-Critical,10,0.03K,0.2KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/detection_by_tracker/objects,Control/Planning,Critical,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/object_association_merger/debug/cyclic_time_ms,Vehicle/System,Less-Critical,20,0.02K,0.2KB/s
perception/object_recognition/detection/object_association_merger/debug/processing_time_ms,Vehicle/System,Less-Critical,20,0.02K,0.2KB/s
perception/object_recognition/detection/object_lanelet_filter/debug/pipeline_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/object_lanelet_filter/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/objects,Control/Planning,Critical,10,0.1K,1KB/s
perception/object_recognition/detection/objects_before_filter/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/obstacle_pointcloud_based_validator/debug/pipeline_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/pointcloud_map_filtered/pointcloud/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/temporary_merged_objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/objects,Control/Planning,Critical,10,0.1K,1KB/s
perception/object_recognition/objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/prediction/maneuver,Control/Planning,Critical,10,0.01K,0.1KB/s
perception/object_recognition/prediction/map_based_prediction/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_detail_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/input_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/meas_to_tracked_object_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/objects_markers,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/pipeline_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/tracking/objects,Control/Planning,Critical,10,0.01K,0.1KB/s
perception/object_recognition/tracking/objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/crop_box_filter/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/crop_box_filter/debug/pipeline_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/crop_box_filter/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/pointcloud_map_filtered/downsampled/pointcloud/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/range_cropped/pointcloud/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/obstacle_segmentation/single_frame/pointcloud/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/occupancy_grid_map/map,Control/Planning,Critical,10,90K,900KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/pipeline_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/auto_mode_status/avoidance_by_lane_change_left,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/avoidance_by_lane_change_right,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/blind_spot,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/crosswalk,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/goal_planner,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/intersection,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/intersection_occlusion,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/lane_change_left,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/lane_change_right,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/no_stopping_area,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/start_planner,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/static_obstacle_avoidance_left,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/static_obstacle_avoidance_right,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/auto_mode_status/traffic_light,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/avoidance_by_lane_change_left,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/avoidance_by_lane_change_right,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/blind_spot,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/crosswalk,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/goal_planner,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/intersection,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/intersection_occlusion,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/lane_change_left,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/lane_change_right,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/no_stopping_area,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/start_planner,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/static_obstacle_avoidance_left,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/static_obstacle_avoidance_right,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/cooperate_status/traffic_light,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/avoidance_by_lane_change_left,Vehicle/System,Less-Critical,0,0.1K,0
planning/debug/objects_of_interest/avoidance_by_lane_change_right,Vehicle/System,Less-Critical,0,0.1K,0
planning/debug/objects_of_interest/blind_spot,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/crosswalk,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/goal_planner,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
